"x","y"
7543,8555
8621,2841
6704,2152
7183,2427
10298,4493
8861,8211
6944,9450
8022,10070
6584,3460
7782,4424
9340,7247
5985,2841
8501,1808
5746,6972
9340,7798
9579,5595
9460,6352
6944,6145
9220,2359
6944,2841
5027,2565
9459,3047
8980,5250
8142,5319
4428,5801
4428,3323
7662,3391
5985,2565
9100,10139
6824,8005
6584,8142
5266,9450
7183,6283
5865,8831
7902,6972
9340,7523
8381,1877
6824,5388
7902,8487
3469,3185
7423,2703
5506,5044
5626,5526
5386,1808
4667,8005
5746,9450
8142,3667
7183,3804
4907,4424
8860,4080
5027,3254
7662,7936
6944,2978
8621,3667
5027,3667
7423,9313
4787,8349
9579,3116
9220,5113
5865,3185
9340,2290
3230,3598
3349,4218
8261,2496
9579,4493
8381,9313
6345,8142
4428,6352
7063,7867
8980,7178
5865,9657
8022,6214
8501,2083
7902,6559
4428,6765
9579,5182
4308,6008
8022,8005
7543,7867
7183,4218
7303,4424
4428,4286
5865,6627
4188,2221
7183,9313
8142,5732
6105,4562
8741,7867
5746,7936
7902,4355
7662,10277
3948,6077
3709,2772
5027,3391
3230,2909
5266,2014
10538,2014
3110,3254
9699,9382
8980,1945
8741,5250
5865,6214
4787,3391
5746,6834
6225,3529
5865,7041
8621,9037
8621,4218
4667,7729
8621,6559
7902,6283
10418,3598
7423,8900
9340,3116
8861,10139
9579,6559
8381,3942
7543,6214
10777,1739
5746,6559
8381,7109
4907,4837
6225,9037
4787,7523
6584,9657
4428,4149
5147,4700
9100,2978
4667,7867
8741,3322
4547,7109
6824,7867
3829,4768
5506,3667
6944,8487
6464,3254
8980,4837
4907,2221
6824,8693
7423,3391
9819,4080
7782,7041
8381,7385
7063,3873
9460,8831
9699,6352
5865,3598
7782,4149
7782,9932
4308,2841
9579,4080
7782,4700
7303,7454
8381,5457
4547,2014
7423,9037
4787,8487
5865,3047
9819,3804
8022,8280
6225,6972
6584,9382
9579,7247
7782,2634
4667,9106
6105,2221
5386,7867
7662,2565
7303,3598
6824,6903
4308,4768
3349,2978
4308,7936
4548,8487
4547,5595
5146,2634
3829,3942
9340,2152
8142,3391
9460,3736
9699,8968
6345,4975
8501,6077
8621,1877
7662,5870
4308,7798
9100,2152
9460,5526
9460,6765
7423,5870
6944,7247
9220,8555
9579,2152
9340,9726
9220,2634
7063,1808
9100,8211
7543,7178
6824,7316
5386,6490
4188,3598
5147,3323
7423,6696
5027,4080
8860,7523
6824,6765
10777,2978
6584,2909
5865,3736
8381,3667
7662,8211
5266,2152
4907,7178
6704,10001
4428,5388
6824,7729
8741,2634
5266,9588
4428,4975
3829,4218
3349,1877
9340,2703
4547,4493
6464,9175
5266,6421
4787,6421
8501,9106
3589,2703
7782,4837
8621,9450
7782,3185
8621,8349
7902,7523
7662,4218
7063,2496
8621,2152
4068,5870
5386,2359
8142,5457
6584,8555
6584,5801
6464,4080
6944,7109
10538,2703
6345,8693
7662,5732
10298,3391
9340,8211
7902,4906
3589,4906
8261,6903
5147,5250
6464,8900
7303,6765
6105,1808
7303,8005
6105,5388
6824,2359
6584,4424
5147,7454
4547,3254
5985,4080
8741,8418
8860,3529
9819,3942
8381,6008
8621,10001
6105,8418
6584,4837
10298,2152
8501,5250
8261,4286
7303,7316
8381,2290
8860,6145
4907,6077
8741,9657
8022,9795
5865,7867
7662,6972
6824,8831
10418,3736
7063,8280
8621,2565
9100,1877
8860,4218
7543,3598
5386,3598
6464,9313
9699,5526
8142,8900
5626,9244
9340,2565
7063,2772
5386,3185
8621,10139
9220,3873
7543,2772
8381,2427
4907,8693
4188,7041
4547,5870
5865,8555
5985,4493
9100,4768
4548,9037
8261,8555
5506,5732
6704,6421
7423,5595
6464,3667
5626,5801
5027,1877
4907,8418
6225,2427
3349,3391
10418,2634
8860,6696
8381,6972
7782,5664
7902,5319
7423,6834
8860,2290
7183,3254
3349,2152
10298,1877
10059,2427
9939,3736
5506,6146
6464,8211
6824,1945
7782,1808
6464,6283
6225,4218
3829,2427
10418,4149
5506,9313
8741,4562
9340,8073
10538,3667
10059,4906
9100,2703
4547,4355
10418,3460
8741,5388
7543,8693
6105,8969
7902,9313
9220,3047
8621,4355
8741,7454
4547,6283
9579,2703
9100,3529
7183,2703
5386,8693
8381,6283
7303,6352
3709,2221
9579,9175
6584,10208
7423,3116
5865,6903
6584,6903
5865,10208
5865,6352
8381,7936
7183,7247
9699,3598
5985,9726
7902,2152
5147,6903
4787,4218
5506,5319
5147,5939
3110,3667
8501,6903
3230,3736
5865,7729
6105,5113
7063,7729
7662,7109
8860,7385
4787,6696
6584,6490
5027,4906
6824,2221
7782,8968
5386,8831
10418,2221
4907,5801
6225,2290
8860,2427
8261,9795
7902,9450
10538,2427
6824,10070
8860,2152
4787,6559
6105,7591
7782,2496
6584,4562
9220,6903
7303,3460
5985,2290
5386,8280
3589,3116
4188,2359
8142,10139
7662,2152
4188,3460
7423,6008
4667,5388
7662,9175
6464,2703
7423,8211
7902,3804
8741,9795
4907,4700
9100,4631
9699,3873
4667,7591
8501,3873
6345,2772
5027,2841
8501,9244
4428,3460
7662,8487
7303,8831
4907,9932
5386,4562
10777,2427
9220,9106
6345,4149
3349,3942
7063,7178
9220,6490
4068,8211
5027,6696
10538,2290
4068,5319
5626,8831
8501,3185
7303,1945
5865,5250
7902,2427
8741,6490
6464,7936
8261,2909
9699,3322
4787,6008
5626,2909
7902,7109
5266,3942
9220,6214
8261,5526
7662,8073
7902,2841
4188,5113
9579,8762
9220,5526
9100,7660
4308,7109
6584,3322
9699,5250
9220,3322
8860,4906
9579,3529
6464,9864
8381,9588
7543,3047
7543,2496
4068,2565
7662,4080
3589,5595
4547,5319
9699,3047
9220,8968
8381,5319
4428,7867
6345,9932
8980,5801
7543,2359
9460,6077
6944,6421
8860,3804
9220,7454
4068,8349
8381,9037
7782,7454
6105,6765
6225,8900
6464,4631
8022,3460
10178,2221
6464,3116
9220,9795
8860,6008
6704,7385
3469,4149
6704,4631
7782,8280
7902,6008
7063,8142
7303,2634
5147,9795
8381,9450
4667,7454
8621,4906
7423,8349
7063,10208
4907,4149
6944,3254
8980,7591
8501,9932
8621,2703
4667,3598
7543,4424
4428,2772
5865,9106
8142,5182
5027,9313
9220,9932
6824,2909
3589,4631
5746,6008
9699,4286
5985,8211
9340,3804
5626,7867
5027,2290
9819,4631
5147,7591
5506,5870
9100,3942
5746,3667
5746,9037
6105,10070
7063,2909
8861,9864
4667,8693
9220,5388
5985,2703
6704,9450
9459,2083
6464,6145
9819,2152
5027,9037
5746,2290
4547,6972
8261,7591
9939,5801
4547,3804
9220,4837
8501,3322
8501,5113
9579,3942
6464,4768
7303,7729
8142,8349
3469,3460
6584,8418
6105,7729
4547,4218
7183,3116
6345,9244
9340,7109
8381,7798
7662,3529
5027,9175
8022,3598
3709,2909
4428,6077
9579,6834
6824,8555
6824,5113
9460,3460
5746,7523
5027,8624
9579,9037
8621,7660
6944,4906
5506,7523
7782,8142
7063,4424
8860,7798
6464,7660
4428,8005
8980,7454
6345,2359
7183,2152
5746,2014
3230,2221
4068,3116
6345,4562
7662,3254
4428,2083
4667,2496
3948,2083
5147,4975
6704,6008
3110,2841
9340,5870
9939,2221
3469,2772
8501,6627
7303,8555
7183,3667
7183,5732
8381,8900
5626,4975
6105,3460
5746,7109
4547,6696
7543,6490
4787,8624
5865,8969
7063,5113
3469,2634
7183,5870
3709,3598
8860,6834
9220,5939
8261,6490
5746,3529
10658,2083
8501,5939
5985,10001
6345,6903
8261,3047
4188,7178
5506,2290
8142,6834
7183,7936
9100,5870
8621,8762
4068,5732
8501,7316
5146,2221
4907,7867
5506,4631
4667,4837
4787,7936
8980,8280
3709,2496
3469,2221
6704,3804
4547,8211
4907,5939
6464,5457
6105,8555
8501,6214
8022,6627
9460,8005
8980,8968
9100,2290
5985,8762
8261,1945
6105,9106
8501,7867
5746,5732
5746,8211
6824,4286
7662,6834
3709,3736
8621,9864
5266,5319
7183,8900
7423,3804
5506,6008
8860,2841
7063,4011
10777,1877
6824,4424
8381,7523
7423,2565
5506,10277
4308,7523
8980,8831
6225,5595
6824,10208
4547,4080
6704,3391
5865,1945
8980,6490
7543,5113
6345,4700
8980,2496
6824,4837
6105,3322
6944,4768
7303,10208
6704,5870
4308,5732
4547,5457
6944,8762
5746,10139
7782,6765
3948,8142
5626,2083
9100,3116
8501,8280
8142,6145
9579,6008
8741,8968
7303,9519
9100,4355
3469,2359
5027,8487
9579,5457
8860,6283
4667,6765
9819,2290
9220,8693
4667,4562
5147,8969
4667,9795
4188,4700
5146,1808
7782,3598
9100,4493
7303,7591
4547,3942
6584,9795
3469,5250
6824,4975
3948,1945
8621,2290
4787,4631
4547,6008
6704,7798
5266,6696
5746,6421
7303,8693
4068,3529
8741,6765
8261,9244
7902,2014
6105,9795
10538,4218
5865,6077
4787,5732
9220,2772
5506,2152
5626,10070
8860,3667
6944,7798
9220,3185
9819,2427
6944,7385
5386,9244
9220,9244
9460,5939
9699,6490
3709,1808
10418,3873
7063,3047
4308,5457
7183,6421
3349,3529
3469,2083
5626,2496
9340,4768
5506,10139
6704,5595
4188,6077
4308,6972
7543,8968
7303,9657
6345,3598
3709,4562
4188,8418
4548,8762
3829,4906
5985,6421
5506,9450
9819,5457
9459,2359
4068,5182
8621,4080
9579,8211
8501,8418
8261,6214
3948,8280
4787,3254
7063,5664
8860,7660
4667,3185
4308,4218
5865,3322
9340,8900
6584,9106
5266,4906
7782,2083
5506,8349
9579,3254
9220,7316
7662,8349
5746,4493
8022,8555
5746,8624
7902,10001
5147,4149
5266,9175
8142,3942
7902,3667
6345,7316
7183,4768
5147,4286
6944,9175
8261,3598
7063,10070
6824,3185
6944,5182
5386,9795
8861,9450
8861,8624
3948,4975
10658,2221
10418,4011
3709,4149
8142,9313
3709,4700
8621,5319
7063,6627
6944,7660
5386,4149
8022,6490
6345,6214
9460,8418
5626,9106
9819,5182
6345,8005
4667,6627
6824,9795
6345,2221
8022,4286
3230,3185
5027,9726
8022,7178
4907,7454
5985,9450
5027,6008
8261,1808
5985,5870
9579,2565
6584,4975
8142,8624
7183,9450
4547,3391
5506,7660
9220,2909
5266,5595
3948,5664
8381,8211
8980,5664
8741,9244
8022,9382
7183,6559
8741,4149
8381,6696
6105,5939
6824,8969
8022,1808
6345,2083
8741,3047
