"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244","V245","V246","V247","V248","V249","V250","V251","V252","V253","V254","V255","V256","V257","V258","V259","V260","V261","V262","V263","V264","V265","V266","V267","V268","V269","V270","V271","V272","V273","V274","V275","V276","V277","V278","V279","V280","V281","V282","V283","V284","V285","V286","V287","V288","V289","V290","V291","V292","V293","V294","V295","V296","V297","V298","V299","V300","V301","V302","V303","V304","V305","V306","V307","V308","V309","V310","V311","V312","V313","V314","V315","V316","V317","V318","V319","V320","V321","V322","V323","V324","V325","V326","V327","V328","V329","V330","V331","V332","V333","V334","V335","V336","V337","V338","V339","V340","V341","V342","V343","V344","V345","V346","V347","V348","V349","V350","V351","V352","V353","V354","V355","V356","V357","V358","V359","V360","V361","V362","V363","V364","V365","V366","V367","V368","V369","V370","V371","V372","V373","V374","V375","V376","V377","V378","V379","V380","V381","V382","V383","V384","V385","V386","V387","V388","V389","V390","V391","V392","V393","V394","V395","V396","V397","V398","V399","V400","V401","V402","V403","V404","V405","V406","V407","V408","V409","V410","V411","V412","V413","V414","V415","V416","V417","V418","V419","V420","V421","V422","V423","V424","V425","V426","V427","V428","V429","V430","V431","V432","V433","V434","V435","V436","V437","V438","V439","V440","V441","V442","V443","V444","V445","V446","V447","V448","V449","V450","V451","V452","V453","V454","V455","V456","V457","V458","V459","V460","V461","V462","V463","V464","V465","V466","V467","V468","V469","V470","V471","V472","V473","V474","V475","V476","V477","V478","V479","V480","V481","V482","V483","V484","V485","V486","V487","V488","V489","V490","V491","V492","V493","V494","V495","V496","V497","V498","V499","V500"
1,38,3,12,84,28,0,2,46,10,4,3,33,11,3,3,0,2,24,0,0,0,6,88,7,0,5,4,1,0,1,5,2,8,6,4,1670,1,2,1,0,6,9,15,1,1,3,0,4,0,8,5,2,2,4,2,0,0,3,0,2,0,0,0,0,5,4,1,1,1,1,1,0,1,8,3,1,7,1,12,2,1,5,4,1,0,0,1,3,1,3,13,2,8,0,6,1,14,0,2,3,1,0,10,4,0,0,2,3,0,3,3,1,0,2,2,7,8,1,0,1,3,3,1,6,8,1,1,1,0,1,1,0,3,13,4,0,6,3,4,24,1,3,1,0,2,3,1,0,5,0,1,1,0,8,0,0,0,13,3,4,2,13,0,2,1,1,1,2,2,0,0,1,2,3,6,15,4,2,4,4,2,41,0,0,12,2,1,7,0,1,13,2,1,6,7,1,0,135,7,5,2,2,19,3,0,3,7,0,1,4,6,9,3,0,2,0,8,3,9,3,3,3,4,5,7,5,4,8,3,12,0,9,0,0,0,0,0,1,4,0,8,5,11,1,1,1,6,5,0,2,2,4,3,1,4,6,5,27,0,0,0,3,0,0,0,2,3,1,1,0,1,3,1,1,3,7,2,2,5,1,3,7,5,0,0,4,7,3,4,0,4,1,0,1,7,3,1,8,3,1,4,2,3,0,4,5,6,0,14,2,3,0,0,1,2,5,3,3,0,3,0,1,7,3,3,3,1,2,2,3,0,2,4,1,2,6,1,0,6,2,0,4,3,1,9,4,8,0,0,3,0,10,0,0,4,6,1,0,2,1,5,6,0,1,0,5,6,2,4,3,1,0,6,5,5,6,1,1,6,2,5,2,2,0,2,3,2,4,0,0,0,0,0,0,0,6,5,3,1,7,0,2,1,1,1,3,0,1,0,3,4,0,11,0,2,2,2,4,3,4,1,3,4,3,2,13,1,0,3,1,0,0,6,0,1,3,3,3,0,1,3,1,5,2,4,5,2,0,2,1,3,7,0,3,2,1,1,5,1,2,0,1,1,2,3,3,1,0,5,11,7,3,4,5,6,1,3,4,2,0,7,1,9,5,2,2,0,4,4,1,3,2,1,0,2,2,5,1,0
1,38,1,2,3,1,2,47,20,4,1,1,15,16,0,0,4,0,7,2,0,2,1,63,0,0,6,0,0,0,1,2,0,0,6,4,100,2,1,1,0,1,0,6,2,0,1,0,3,2,0,1,0,4,0,20,0,55,2,2,1,1,0,0,1,4,7,3,0,1,2,5,1,24,0,2,0,5,0,1,0,5,2,0,0,0,0,0,2,0,3,2,1,0,0,7,0,4,0,4,3,1,1,0,0,0,4,0,0,2,1,9,1,0,0,0,1,0,0,0,2,1,0,1,4,4,0,1,0,0,0,1,2,1,4,2,0,0,0,8,6,1,1,0,0,2,5,0,1,6,1,0,0,0,2,0,0,0,0,0,1,1,0,1,3,2,1,1,0,5,0,3,1,0,1,12,2,0,2,0,0,1,4,10,1,2,0,0,15,0,2,1,1,3,1,0,0,0,30,1,0,0,1,4,3,0,3,0,4,0,4,1,1,0,0,0,0,0,0,0,0,0,1,1,0,4,1,0,1,1,2,0,1,0,1,0,1,2,3,2,0,3,2,3,1,3,0,0,0,0,0,0,0,0,0,1,0,3,2,1,0,1,0,0,0,3,10,1,0,1,0,2,2,3,0,1,2,0,1,9,0,1,2,2,0,0,3,4,1,0,0,4,4,0,5,3,1,1,7,0,1,0,1,0,1,5,5,2,0,2,4,2,2,0,5,4,0,0,1,0,2,1,2,5,0,1,65,3,1,2,0,3,2,0,0,0,1,1,0,0,2,1,1,0,0,1,0,7,6,1,0,0,2,0,0,1,0,2,0,0,0,6,7,7,0,1,1,0,1,2,3,0,1,3,1,2,2,0,0,1,6,1,1,0,0,2,0,1,3,1,1,1,1,0,0,0,3,1,1,1,0,3,0,2,0,0,0,1,2,0,4,1,1,0,0,0,0,0,8,6,2,1,0,2,2,0,2,0,2,1,2,1,0,0,0,2,0,1,1,0,1,6,0,0,0,0,0,0,3,7,3,2,1,0,3,1,3,0,0,0,1,0,2,1,0,0,1,3,1,0,3,0,0,1,0,3,1,0,0,1,0,3,2,2,0,0,1,0,1,1,3,0,0,0,0,2,1,1,3,1
4,13,127,7,48,6,65,1,172,21,4,1,154,80,2,30,27,0,19,29,0,0,7,432,2,23,0,5,2,9,15,40,3,5,4,32,1536,12,11,4,3,5,9,10,0,8,26,3,2,9,2,39,4,3,0,8,7,1,30,14,1,26,0,15,5,5,1,3,0,22,2,3,13,12,90,31,1,31,1,7,2,24,16,6,10,3,5,2,10,19,16,3,8,4,5,3,0,6,13,25,5,6,8,2,1,0,9,0,0,20,3,11,5,2,0,2,6,20,11,9,12,13,12,8,10,5,7,4,9,5,0,0,5,18,28,1,1,8,6,1,22,4,3,5,0,15,5,8,4,18,8,12,2,3,27,22,12,12,18,10,8,16,4,9,11,8,8,3,0,2,1,0,1,6,1,7,24,7,6,8,3,0,122,1,7,44,0,5,8,8,3,58,3,2,16,27,15,3,131,24,7,12,1,34,20,0,41,2,3,0,5,15,16,5,1,1,7,15,10,12,10,12,5,3,5,18,21,1,5,12,13,6,33,7,7,1,5,2,6,0,0,20,5,24,0,2,1,11,10,6,13,5,8,5,0,9,7,54,45,3,0,9,2,2,5,2,10,7,6,11,7,3,6,3,5,22,19,12,5,3,4,8,36,15,9,0,8,15,9,10,0,4,9,8,3,11,10,3,9,3,3,2,7,10,3,8,12,15,2,49,4,16,10,8,9,2,1,2,10,4,13,10,7,6,4,21,14,1,6,5,25,1,6,5,10,3,2,1,1,7,10,0,19,4,6,6,5,12,0,5,9,3,6,7,6,16,18,7,1,3,3,4,12,2,0,12,8,4,11,3,12,3,6,21,8,6,7,11,11,4,3,6,10,9,10,14,4,6,3,4,1,5,0,5,6,6,3,12,2,8,3,1,7,7,12,7,6,3,6,6,5,10,1,6,6,3,11,8,9,18,4,6,3,6,12,6,18,3,2,11,1,4,2,8,8,7,3,0,8,2,1,5,0,3,8,4,0,5,1,2,5,15,9,6,7,1,11,5,5,3,2,3,15,4,0,8,11,4,2,8,14,9,1,11,9,13,7,4,4,12,1,17,6,42,15,7,3,6,2,2,4,7,3,5,4,1,11,10,3,4
3,18,46,6,48,1,4,3,18,86,3,24,15,17,0,0,1,0,11,19,0,7,5,53,3,3,6,0,0,4,1,10,5,0,2,23,120,20,8,2,0,2,1,41,1,0,7,0,37,13,4,1,7,6,1,3,13,10,24,11,0,9,0,1,1,2,3,4,2,20,4,1,11,1,25,19,0,38,8,3,0,44,19,7,0,0,6,0,3,0,1,2,13,1,1,8,1,14,12,0,3,9,8,1,2,1,3,0,0,1,28,15,6,2,1,1,0,15,2,2,6,2,5,2,14,8,0,9,1,2,2,5,24,12,2,2,7,11,0,0,23,13,8,3,2,3,7,3,0,3,9,12,3,0,5,2,0,5,10,2,5,0,4,22,13,5,3,21,0,1,1,14,0,3,1,4,5,9,33,13,1,1,69,0,4,25,3,6,3,2,7,19,4,0,4,14,2,0,73,15,12,8,3,10,25,3,22,4,14,6,10,6,11,1,2,1,2,18,1,3,20,1,14,3,8,10,6,11,1,5,9,9,22,5,7,0,4,0,2,0,0,36,18,43,0,2,5,7,2,7,4,5,5,2,0,6,8,31,117,1,2,10,4,4,0,1,23,15,2,15,15,2,9,5,2,30,6,3,2,5,8,0,9,6,1,1,34,14,11,3,0,3,13,7,2,26,7,1,10,5,14,12,12,1,3,21,18,5,0,28,2,16,17,6,5,2,4,0,9,4,6,6,2,3,3,4,8,2,1,5,6,0,3,3,4,4,2,4,23,3,5,0,13,3,0,0,6,23,1,3,1,14,16,0,11,6,2,6,0,6,7,5,0,4,2,25,2,9,5,4,4,5,14,10,6,17,3,8,6,3,6,2,5,8,4,4,5,4,7,1,2,1,1,0,17,0,1,4,4,7,12,4,5,5,5,4,12,40,1,0,1,8,13,4,4,1,2,3,18,14,2,8,2,6,3,10,28,8,0,10,20,2,2,12,4,4,2,0,3,2,6,0,0,2,1,7,1,4,2,2,19,3,7,7,10,0,7,2,3,0,3,4,5,5,1,5,6,2,1,5,11,4,1,8,6,9,9,1,2,12,9,10,0,16,12,4,1,13,7,8,12,5,8,3,4,1,2,4,2,8
5,35,36,13,48,0,2,2,26,82,3,24,16,11,8,0,2,2,8,14,0,6,5,81,2,0,16,1,0,1,3,17,2,1,3,18,142,24,11,1,2,1,4,34,5,0,3,0,26,7,6,1,6,1,2,0,4,9,17,7,1,6,0,0,0,3,1,2,0,20,3,2,7,2,23,15,1,30,7,1,0,33,22,5,1,0,1,1,1,4,2,3,8,0,0,9,2,17,15,2,1,5,12,1,1,0,1,1,1,1,19,14,4,1,0,0,2,32,2,0,4,6,2,2,10,4,4,5,2,4,0,2,13,9,3,0,5,4,1,0,17,10,5,3,1,3,5,0,0,5,7,14,2,0,6,2,1,0,7,1,12,5,0,16,15,3,3,16,0,1,1,4,1,0,2,4,9,7,35,8,1,1,62,2,4,22,3,2,7,4,4,14,2,4,3,9,1,2,91,14,7,10,3,7,14,2,24,2,11,6,18,4,9,0,0,0,2,12,2,1,26,3,7,1,7,12,5,6,5,11,2,3,20,9,5,0,9,2,6,2,0,28,6,25,2,3,2,6,1,11,5,3,3,5,0,8,5,24,65,1,0,6,4,3,0,2,13,8,0,8,14,2,8,3,2,26,5,2,1,2,9,2,15,2,0,4,20,5,15,7,1,4,16,6,2,29,8,4,3,3,13,8,12,2,2,14,18,3,0,18,1,13,10,7,6,0,2,1,14,1,1,11,7,3,3,5,8,2,1,5,4,2,6,3,1,4,2,4,14,3,6,2,15,1,0,3,2,22,1,6,0,9,7,3,5,6,11,3,1,4,3,7,6,2,1,9,3,3,2,3,5,7,13,5,7,16,1,4,0,4,5,0,2,4,7,1,0,6,6,1,2,1,0,2,10,1,2,8,4,10,8,1,3,7,3,2,6,19,1,0,2,5,4,2,4,2,6,4,15,13,4,2,3,2,3,12,20,5,0,6,17,4,1,10,0,4,1,0,2,3,10,1,1,4,10,4,0,5,2,6,8,8,3,6,3,0,9,3,1,4,1,2,8,4,0,2,5,6,4,6,9,6,3,5,8,3,7,1,2,5,13,6,1,10,9,0,3,12,10,4,9,4,2,1,2,1,6,3,0,7
2,16,17,14,57,4,3,1,5,60,3,3,8,2,6,58,4,2,3,9,0,0,4,19,2,9,9,2,0,3,1,25,2,1,7,35,1457,6,2,6,2,1,6,76,0,5,19,5,9,7,8,31,16,4,2,13,5,1,11,11,0,7,0,4,3,8,0,8,12,9,15,1,6,4,17,33,3,66,2,38,0,51,31,9,0,0,7,0,1,5,16,13,15,20,1,2,0,5,3,11,5,6,6,8,19,0,4,0,3,4,3,6,7,7,1,13,4,14,2,1,5,11,7,1,26,21,9,6,2,8,1,2,7,11,19,3,5,9,4,4,46,2,4,5,0,6,26,5,5,9,3,9,1,12,21,2,2,5,44,3,11,11,3,13,8,8,10,6,0,0,2,3,0,4,0,13,72,6,11,3,4,2,105,0,1,65,7,7,3,4,5,23,0,1,17,11,7,10,112,16,13,31,0,26,13,0,39,9,3,7,6,37,20,5,7,4,0,24,5,11,16,18,12,10,1,11,45,2,25,9,31,7,28,2,7,1,4,1,2,0,0,34,7,41,3,1,4,10,7,19,4,8,2,11,0,16,11,38,100,3,0,6,3,5,4,0,11,5,3,2,11,2,7,1,2,18,14,33,2,4,5,14,57,15,7,5,11,40,12,9,0,4,11,4,4,15,15,3,7,2,12,7,10,8,5,9,9,10,0,34,0,10,3,6,6,1,5,5,8,1,14,10,7,6,1,6,6,6,2,9,10,1,2,15,1,2,5,2,6,25,22,1,20,8,3,2,3,43,2,2,10,3,20,16,4,5,20,5,0,4,1,4,3,2,0,8,7,12,4,6,5,3,4,21,17,4,15,7,4,23,3,7,12,8,8,8,9,4,4,5,1,4,3,1,5,7,9,14,4,14,10,1,3,3,12,6,1,5,7,7,12,8,1,12,3,6,10,4,7,12,1,6,2,3,2,1,30,6,1,4,2,4,2,10,0,4,4,1,3,6,7,0,7,9,5,9,0,8,0,2,2,15,3,1,3,0,10,0,8,1,1,0,13,1,1,17,5,1,10,20,21,11,7,11,7,17,13,5,5,19,5,10,7,24,13,17,1,7,4,7,6,3,5,3,2,9,8,12,2,10
11,140,0,51,206,10,0,12,10,4,18,0,3,3,21,1,1,20,21,0,0,0,22,16,12,1,3,2,0,1,1,3,4,18,25,1,760,0,1,0,7,8,20,6,1,1,0,0,0,0,16,0,0,17,8,1,1,0,2,0,10,0,0,0,0,5,6,0,0,1,0,3,0,2,5,0,0,1,0,1,3,3,1,0,0,0,0,5,7,1,1,1,0,2,0,0,8,4,1,1,9,0,0,1,0,0,0,1,0,0,0,2,1,0,3,1,16,2,0,0,1,0,0,0,1,2,0,0,0,0,0,5,2,0,6,0,0,1,0,2,8,0,0,1,0,0,0,0,2,1,2,0,7,1,0,0,1,0,0,0,0,1,0,0,0,2,2,0,0,5,1,0,6,0,1,5,3,1,0,0,0,6,7,2,2,2,3,0,10,0,1,7,1,2,1,3,0,0,268,0,2,2,2,3,0,0,3,3,0,0,5,2,2,1,0,1,0,1,0,0,1,1,0,2,3,0,1,2,2,1,1,0,3,0,1,0,1,0,1,5,0,2,1,2,0,3,1,1,1,2,0,0,1,0,0,1,0,12,5,3,0,1,1,0,1,4,0,0,0,0,2,0,0,1,0,1,20,0,0,1,0,1,2,0,0,0,1,1,0,0,4,8,0,0,4,2,0,0,1,0,1,0,0,1,2,1,1,2,0,2,2,3,0,0,4,1,2,4,3,0,0,0,0,0,2,1,1,5,1,2,0,1,0,0,0,4,3,2,0,0,0,0,4,0,0,0,0,2,5,1,1,0,1,0,1,1,0,1,1,5,1,0,0,4,5,1,1,1,0,1,0,0,0,1,0,2,1,0,0,0,0,0,1,0,0,1,1,3,0,0,1,1,4,0,0,0,0,0,1,6,0,1,0,2,0,0,0,0,0,0,0,1,0,3,0,1,2,0,1,1,2,0,0,5,0,0,4,1,2,0,0,5,0,0,1,2,1,0,0,2,1,1,0,3,1,0,4,3,1,0,0,2,5,0,0,5,1,0,1,0,1,1,1,3,3,1,0,1,0,2,13,5,0,0,0,1,1,0,1,3,1,3,0,1,0,2,1,3,3,1,1,2,1,4,0,0,1,0,2,0
0,21,19,1,16,0,10,37,13,18,3,2,21,11,2,1,5,2,43,6,0,10,2,80,1,3,11,0,1,1,1,5,2,2,0,5,292,5,1,0,1,0,0,8,9,1,3,0,6,0,3,4,5,1,0,1,2,21,1,2,0,3,0,1,0,5,1,1,2,2,4,3,2,19,14,10,1,14,2,2,0,8,4,0,0,0,3,0,1,1,3,0,3,0,0,4,0,9,2,2,1,1,3,0,4,0,2,1,0,0,8,7,1,0,0,1,2,9,4,0,6,2,4,1,3,1,0,3,2,2,0,3,2,3,5,0,4,4,0,0,3,4,1,1,1,1,1,1,1,2,5,4,0,0,2,1,0,1,4,1,4,2,2,7,0,1,4,0,0,2,0,3,1,1,2,8,5,4,5,2,1,0,19,2,6,12,1,1,6,4,3,12,2,5,3,5,1,2,49,10,4,3,5,2,4,1,6,1,2,2,7,2,1,1,0,1,0,6,3,1,3,1,3,2,3,3,6,3,0,7,6,1,5,0,2,0,2,0,3,0,0,9,2,7,0,6,1,1,2,3,3,1,0,3,0,6,4,8,14,2,1,2,2,0,0,3,12,0,1,1,10,0,3,1,2,5,0,1,0,5,4,2,11,6,1,2,5,3,0,2,0,8,2,0,3,6,1,3,3,1,7,2,2,2,2,2,4,2,0,6,3,3,3,1,5,3,0,1,2,1,2,3,2,2,1,3,41,2,1,0,2,3,4,2,1,0,3,0,4,0,1,0,4,2,0,0,2,15,1,1,0,4,1,2,2,1,6,4,1,1,1,6,5,1,1,0,0,1,1,5,2,0,2,1,2,2,2,1,3,2,5,0,1,5,1,3,0,3,5,2,2,1,0,0,0,0,0,1,4,6,1,4,6,1,3,2,2,2,1,0,1,4,2,1,2,0,1,3,12,3,2,1,1,1,3,0,5,3,0,1,4,0,0,1,1,0,2,0,1,0,1,3,0,3,2,0,0,2,4,3,4,7,1,1,3,0,2,1,1,0,0,1,2,2,4,0,0,3,4,4,1,0,4,4,5,1,2,0,2,6,0,4,1,4,1,1,0,1,0,3,1,2,3,0,1,0,0,2,3,3
3,218,4,21,132,2,7,12,33,8,17,1,31,13,23,0,5,13,79,2,0,0,6,66,17,1,1,0,0,2,2,9,9,5,7,5,533,2,6,0,1,6,7,4,1,1,1,0,2,0,4,0,1,20,4,2,0,7,5,1,2,1,0,0,0,8,5,0,0,5,2,7,0,1,7,4,1,1,0,0,3,2,0,2,0,1,0,7,4,3,0,0,1,0,0,1,3,3,2,4,5,2,1,1,3,0,1,0,0,2,2,4,1,0,8,0,4,1,1,1,0,3,1,1,0,0,2,0,1,1,1,5,0,1,0,0,0,1,0,0,4,1,0,1,5,0,0,0,0,5,0,0,3,1,4,2,1,1,0,0,0,2,2,2,1,0,3,1,4,2,1,3,2,0,1,10,5,3,1,1,2,1,7,3,2,8,5,0,11,0,1,4,0,5,2,1,0,0,139,1,0,2,2,2,2,0,7,6,0,0,8,3,0,0,0,1,1,2,1,2,0,0,0,1,3,4,2,2,4,3,2,0,2,0,1,0,1,0,1,1,1,5,0,3,0,0,0,5,2,3,3,0,1,0,0,1,2,16,7,5,0,0,4,0,0,3,1,0,2,0,1,1,1,3,2,2,13,3,0,2,1,0,5,1,0,1,1,2,1,0,4,2,0,1,6,2,0,2,1,0,1,1,1,0,2,1,2,1,0,4,2,0,1,1,3,4,2,1,0,0,1,0,2,3,1,1,5,1,1,0,4,1,3,0,0,2,5,2,0,2,2,0,0,0,0,2,0,5,0,0,0,0,0,0,0,2,1,2,0,2,2,2,2,0,2,1,0,0,0,2,0,1,2,1,0,0,2,1,0,0,1,1,1,2,2,0,1,4,3,1,5,0,4,0,0,2,2,0,1,3,0,1,1,4,2,1,0,1,0,1,0,2,1,2,0,0,0,1,2,5,3,0,0,6,1,1,2,0,0,4,1,3,2,3,0,4,0,1,0,1,1,0,0,1,0,0,0,2,3,2,1,4,3,0,4,0,0,2,0,0,1,0,0,2,1,1,2,5,0,1,11,3,3,3,1,2,2,0,4,2,1,1,0,8,3,1,1,1,2,0,2,2,1,2,1,0,0,3,5,1
5,12,72,5,56,2,7,8,12,315,1,153,12,5,1,9,7,0,21,20,0,0,4,26,1,89,5,128,5,16,8,9,0,1,6,15,1634,43,25,13,1,2,3,17,2,4,63,67,54,5,3,8,23,5,0,7,60,2,118,16,2,8,0,11,3,4,0,76,89,22,2,1,47,4,104,20,54,45,0,17,1,34,34,29,1,1,6,0,2,27,11,24,22,19,10,1,1,4,36,10,11,7,35,1,10,0,10,39,3,17,6,13,25,11,0,3,5,40,2,1,6,13,12,7,35,22,5,2,5,12,0,1,39,46,20,38,4,17,1,1,34,27,7,6,1,31,26,7,30,9,50,3,3,4,14,3,12,22,22,10,23,40,7,16,4,12,10,24,0,1,2,2,0,4,4,15,50,18,43,9,10,4,68,3,3,88,6,34,17,24,4,32,1,4,29,25,5,2,115,15,23,29,3,11,39,1,35,7,1,12,8,6,20,24,15,20,2,26,16,1,44,31,9,15,3,10,15,2,11,14,18,6,21,14,5,1,4,2,0,2,13,16,10,60,21,2,18,12,8,12,21,7,6,15,25,6,12,5,167,2,5,20,0,1,9,2,14,5,9,8,26,0,3,0,2,30,11,13,17,7,5,24,34,14,2,20,17,5,10,13,0,4,3,2,4,11,16,13,7,22,0,2,4,7,4,22,37,16,0,21,1,17,7,9,3,3,1,3,8,14,5,12,6,5,16,6,18,5,12,7,24,4,4,3,10,1,3,0,19,13,19,27,38,3,5,9,16,45,3,24,8,20,23,5,4,7,28,19,1,3,28,13,8,6,1,10,9,7,0,3,6,8,7,19,9,14,10,9,8,9,3,13,3,2,33,9,6,4,8,5,1,7,1,0,1,11,10,14,9,20,8,1,2,17,9,6,23,0,3,3,5,7,4,14,6,4,38,5,5,9,6,9,7,15,13,6,24,2,3,10,6,10,0,16,7,2,6,0,16,1,2,2,10,3,2,3,0,6,5,2,10,15,13,9,9,0,23,1,1,20,3,8,18,19,1,7,7,7,18,8,11,5,3,12,2,28,21,6,4,8,3,23,6,30,16,7,1,16,4,5,12,29,19,4,14,2,4,5,1,18
