"x","y"
2377,1707
2617,1707
2856,1707
2257,1776
2497,1776
2736,1776
2976,1776
3216,1776
3695,1776
3935,1776
4174,1776
4414,1776
4653,1776
2377,1845
2617,1845
2856,1845
3096,1845
3336,1845
3575,1845
3815,1845
4054,1845
4294,1845
4534,1845
2257,1914
2497,1914
2736,1914
2976,1914
3216,1914
3455,1914
3695,1914
3935,1914
4174,1914
4414,1914
4653,1914
2377,1983
2617,1983
2856,1983
3096,1983
3336,1983
3575,1983
3815,1983
4054,1983
4294,1983
4534,1983
4773,1983
2257,2052
2497,2052
2736,2052
2976,2052
3216,2052
3455,2052
3695,2052
3935,2052
4174,2052
4414,2052
4653,2052
2377,2121
2617,2121
2856,2121
3096,2121
3336,2121
3575,2121
3815,2121
4054,2121
4294,2121
4534,2121
4773,2121
2257,2189
2497,2189
2736,2189
2976,2189
3216,2189
3455,2189
3695,2189
3935,2189
4174,2189
4414,2189
4653,2189
2137,2258
2377,2258
2617,2258
2856,2258
3096,2258
3336,2258
3575,2258
3815,2258
4054,2258
4294,2258
4534,2258
2257,2327
2497,2327
2736,2327
2976,2327
3216,2327
3455,2327
3695,2327
3935,2327
4174,2327
4414,2327
4653,2327
2137,2396
2377,2396
2617,2396
2856,2396
3096,2396
3336,2396
3575,2396
3815,2396
4054,2396
4294,2396
4534,2396
2257,2465
2497,2465
2736,2465
2976,2465
3216,2465
3455,2465
3695,2465
3935,2465
4174,2465
4414,2465
4653,2465
2137,2534
2377,2534
2617,2534
2856,2534
3096,2534
3336,2534
3575,2534
3815,2534
4054,2534
4294,2534
4534,2534
2257,2603
2497,2603
2736,2603
2976,2603
3216,2603
3455,2603
3695,2603
3935,2603
4174,2603
4414,2603
4653,2603
2137,2671
2377,2671
2617,2671
2856,2671
3096,2671
3336,2671
3575,2671
3815,2671
4054,2671
4294,2671
4534,2671
2257,2740
2497,2740
2736,2740
2976,2740
3216,2740
3455,2740
3695,2740
3935,2740
4174,2740
4414,2740
4653,2740
2137,2809
2377,2809
2617,2809
2856,2809
3096,2809
3336,2809
3575,2809
3815,2809
4054,2809
4294,2809
4534,2809
2257,2878
