"x","y"
6038,1756
5918,2100
6038,2168
5798,2581
6038,2857
5678,2926
5918,2926
5559,2994
5798,2994
5439,3063
5678,3063
5918,3063
5319,3132
5559,3132
5798,3132
5199,3201
5439,3201
5678,3201
5918,3201
5080,3270
5319,3270
5559,3270
5798,3270
6038,3270
4960,3338
5199,3338
5439,3338
5678,3338
5918,3338
4840,3407
5080,3407
5319,3407
5559,3407
5798,3407
6038,3407
4960,3476
5199,3476
5439,3476
5678,3476
5918,3476
4840,3545
5080,3545
5319,3545
5559,3545
5798,3545
4720,3614
4960,3614
5199,3614
5439,3614
5678,3614
5918,3614
4601,3683
4840,3683
5080,3683
5319,3683
5559,3683
5798,3683
4720,3751
4960,3751
5199,3751
5439,3751
5678,3751
5918,3751
4601,3820
4840,3820
5080,3820
5319,3820
5559,3820
5798,3820
4481,3889
4720,3889
4960,3889
5199,3889
5439,3889
5678,3889
5918,3889
4601,3958
4840,3958
5080,3958
5319,3958
5559,3958
5798,3958
4481,4027
4720,4027
4960,4027
5199,4027
5439,4027
5678,4027
5918,4027
4361,4096
4601,4096
4840,4096
5080,4096
5319,4096
5559,4096
5798,4096
4481,4164
4720,4164
4960,4164
5199,4164
5439,4164
5678,4164
5918,4164
4361,4233
4601,4233
4840,4233
5080,4233
5319,4233
5559,4233
5798,4233
4241,4302
4481,4302
4720,4302
4960,4302
5199,4302
5439,4302
5678,4302
5918,4302
4361,4371
4600,4371
4840,4371
5080,4371
5319,4371
5559,4371
5798,4371
4241,4440
4481,4440
4720,4440
4960,4440
5199,4440
5439,4440
5678,4440
5918,4440
4121,4508
4361,4508
4600,4508
4840,4508
5080,4508
5319,4508
5559,4508
5798,4509
6038,4509
4241,4577
4481,4577
4720,4577
4960,4577
5199,4577
5439,4577
5678,4577
5918,4577
4121,4646
4361,4646
4600,4646
4840,4646
5080,4646
5319,4646
5559,4646
5798,4646
4002,4715
4241,4715
4481,4715
4720,4715
4960,4715
5199,4715
5439,4715
5678,4715
5918,4715
4121,4784
4361,4784
4600,4784
4840,4784
5080,4784
5319,4784
5559,4784
5798,4784
4002,4853
4241,4853
4481,4853
4720,4853
4960,4853
5199,4853
5439,4853
5678,4853
5918,4853
3882,4921
4121,4921
4361,4921
4600,4921
4840,4921
5079,4921
5319,4921
5559,4921
5798,4921
4002,4990
4241,4990
4481,4990
4720,4990
4960,4990
5199,4990
5439,4990
5678,4990
5918,4990
3882,5059
4121,5059
4361,5059
4600,5059
4840,5059
5079,5059
5319,5059
5559,5059
5798,5059
6038,5059
4002,5128
4241,5128
4481,5128
4720,5128
4960,5128
5199,5128
5439,5128
5678,5128
5918,5128
3882,5197
4121,5197
4361,5197
4600,5197
4840,5197
5079,5197
5319,5197
5559,5197
5798,5197
3762,5266
4002,5266
4241,5266
4481,5266
4720,5266
4960,5266
5199,5266
5439,5266
5678,5266
